Cancelled,DepTime,DepDelayMinutes,ArrDelayMinutes,AirTime,Distance,Month,DayOfWeek,DepDel15,ArrDel15
False,604.0,0.0,0.0,56.0,362.0,4,5,0.0,0.0
False,1017.0,7.0,18.0,154.0,1005.0,4,5,0.0,1.0
False,1446.0,36.0,4.0,67.0,536.0,4,7,1.0,0.0
False,734.0,4.0,0.0,52.0,355.0,4,5,0.0,0.0
False,1826.0,21.0,21.0,320.0,2409.0,4,5,1.0,1.0
False,1728.0,0.0,0.0,41.0,259.0,4,5,0.0,0.0
False,1103.0,8.0,0.0,76.0,496.0,4,5,0.0,0.0
False,1852.0,32.0,32.0,48.0,159.0,4,5,1.0,1.0
False,459.0,0.0,0.0,174.0,1491.0,4,5,0.0,0.0
False,552.0,0.0,0.0,69.0,456.0,4,5,0.0,0.0
False,1510.0,50.0,35.0,136.0,972.0,4,5,1.0,1.0
False,1944.0,0.0,0.0,77.0,536.0,4,5,0.0,0.0
False,548.0,0.0,0.0,97.0,725.0,4,5,0.0,0.0
True,,,,,849.0,4,5,,
False,638.0,8.0,0.0,132.0,872.0,4,5,0.0,0.0
False,1036.0,16.0,9.0,49.0,289.0,4,5,1.0,0.0
False,806.0,0.0,0.0,49.0,315.0,4,1,0.0,0.0
False,638.0,0.0,0.0,49.0,333.0,4,5,0.0,0.0
False,1319.0,39.0,26.0,148.0,1222.0,4,5,1.0,1.0
False,602.0,2.0,4.0,69.0,446.0,4,5,0.0,0.0
False,1811.0,36.0,23.0,68.0,452.0,4,5,1.0,1.0
False,652.0,0.0,0.0,64.0,324.0,4,5,0.0,0.0
False,1439.0,0.0,0.0,46.0,286.0,4,1,0.0,0.0
False,1946.0,26.0,27.0,140.0,979.0,4,5,1.0,1.0
False,750.0,0.0,0.0,90.0,588.0,4,5,0.0,0.0
False,1128.0,0.0,0.0,38.0,212.0,4,5,0.0,0.0
False,2116.0,6.0,0.0,84.0,628.0,4,5,0.0,0.0
False,902.0,0.0,0.0,81.0,602.0,4,5,0.0,0.0
False,1712.0,17.0,17.0,54.0,324.0,4,5,1.0,1.0
False,1734.0,0.0,0.0,39.0,230.0,4,5,0.0,0.0
False,728.0,56.0,42.0,96.0,589.0,4,5,1.0,1.0
False,1054.0,19.0,17.0,62.0,386.0,4,5,1.0,1.0
False,2210.0,105.0,96.0,79.0,674.0,4,5,1.0,1.0
False,2244.0,44.0,41.0,42.0,259.0,4,5,1.0,1.0
False,1658.0,0.0,3.0,94.0,738.0,4,5,0.0,0.0
False,847.0,27.0,71.0,131.0,1011.0,4,5,1.0,1.0
False,1346.0,0.0,0.0,85.0,654.0,4,1,0.0,0.0
False,1351.0,0.0,0.0,76.0,566.0,4,5,0.0,0.0
False,2029.0,27.0,12.0,49.0,288.0,4,5,1.0,0.0
False,1159.0,10.0,1.0,80.0,458.0,4,6,0.0,0.0
True,,,,,493.0,4,5,,
False,2123.0,3.0,2.0,54.0,358.0,4,5,0.0,0.0
False,1434.0,34.0,9.0,152.0,1073.0,4,5,1.0,0.0
False,1823.0,33.0,24.0,96.0,672.0,4,5,1.0,1.0
False,856.0,0.0,0.0,26.0,67.0,4,6,0.0,0.0
False,1047.0,0.0,0.0,118.0,900.0,4,5,0.0,0.0
False,1001.0,1.0,0.0,68.0,541.0,4,5,0.0,0.0
False,1802.0,0.0,0.0,120.0,738.0,4,1,0.0,0.0
False,1349.0,4.0,0.0,85.0,721.0,4,5,0.0,0.0
False,529.0,0.0,0.0,160.0,1183.0,4,5,0.0,0.0
False,1412.0,27.0,21.0,77.0,528.0,4,5,1.0,1.0
False,1944.0,0.0,0.0,75.0,595.0,4,5,0.0,0.0
False,1300.0,20.0,12.0,194.0,1703.0,4,5,1.0,0.0
False,626.0,0.0,0.0,32.0,187.0,4,5,0.0,0.0
False,715.0,25.0,4.0,126.0,909.0,4,5,1.0,0.0
False,1726.0,6.0,0.0,42.0,240.0,4,5,0.0,0.0
False,1710.0,0.0,0.0,44.0,263.0,4,5,0.0,0.0
False,633.0,3.0,0.0,116.0,793.0,4,5,0.0,0.0
False,845.0,0.0,0.0,102.0,596.0,4,5,0.0,0.0
False,655.0,0.0,0.0,44.0,190.0,4,1,0.0,0.0
False,1202.0,0.0,0.0,54.0,316.0,4,6,0.0,0.0
False,703.0,0.0,0.0,77.0,398.0,4,6,0.0,0.0
False,643.0,8.0,0.0,79.0,484.0,4,5,0.0,0.0
False,1017.0,104.0,100.0,25.0,100.0,4,6,1.0,1.0
False,1344.0,117.0,102.0,79.0,489.0,4,7,1.0,1.0
False,731.0,0.0,0.0,63.0,386.0,4,5,0.0,0.0
False,2216.0,86.0,71.0,47.0,272.0,4,5,1.0,1.0
False,1308.0,13.0,0.0,277.0,2462.0,4,5,0.0,0.0
False,1159.0,0.0,0.0,74.0,420.0,4,7,0.0,0.0
False,723.0,0.0,0.0,84.0,723.0,4,1,0.0,0.0
